Datacode,SA_NAME,GEOGID,Electoral Division CSO Code,Electoral Division Name,County,NUTS_III,NUTS_II,Planning Region,Persons_In_Communal_Establishments_Establishments_2011,Persons_In_Communal_Establishments_Persons_2011
17250,27011003,A027011003,32017,017 Bawnboy,Cavan,Border,BMW,North and West,0,0
17330,27012001,A027012001,32041,041 Bellananagh,Cavan,Border,BMW,North and West,0,0
17331,27012002,A027012002,32041,041 Bellananagh,Cavan,Border,BMW,North and West,0,0
17332,27012003,A027012003,32041,041 Bellananagh,Cavan,Border,BMW,North and West,0,0
17333,27012004,A027012004,32041,041 Bellananagh,Cavan,Border,BMW,North and West,0,0
17334,27012005,A027012005,32041,041 Bellananagh,Cavan,Border,BMW,North and West,0,0
17335,27012006,A027012006,32041,041 Bellananagh,Cavan,Border,BMW,North and West,0,0
17336,27013001,A027013001,32042,042 Belturbet Urban,Cavan,Border,BMW,North and West,0,0
17337,27013002,A027013002,32042,042 Belturbet Urban,Cavan,Border,BMW,North and West,0,0
17338,27013003,A027013003,32042,042 Belturbet Urban,Cavan,Border,BMW,North and West,0,0
17339,27013004,A027013004,32042,042 Belturbet Urban,Cavan,Border,BMW,North and West,0,0
17340,27013005,A027013005,32042,042 Belturbet Urban,Cavan,Border,BMW,North and West,0,0
17341,27013006,A027013006,32042,042 Belturbet Urban,Cavan,Border,BMW,North and West,0,0
17342,27013007,A027013007,32042,042 Belturbet Urban,Cavan,Border,BMW,North and West,0,0
17343,27013008,A027013008,32042,042 Belturbet Urban,Cavan,Border,BMW,North and West,0,0
17344,27013009,A027013009,32042,042 Belturbet Urban,Cavan,Border,BMW,North and West,0,0
17261,27014001,A027014001,32027/32018,027/018 Templeport/Benbrack,Cavan,Border,BMW,North and West,0,0
17251,27015001,A027015001,32019,019 Bilberry,Cavan,Border,BMW,North and West,0,0
17345,27016001,A027016001,32043,043 Bruce Hall,Cavan,Border,BMW,North and West,0,0
17346,27017001,A027017001,32044,044 Butler's Bridge,Cavan,Border,BMW,North and West,0,0
17347,27017002,A027017002,32044,044 Butler's Bridge,Cavan,Border,BMW,North and West,0,0
17348,27018001,A027018001,32045,045 Canningstown,Cavan,Border,BMW,North and West,0,0
17349,27018002,A027018002,32045,045 Canningstown,Cavan,Border,BMW,North and West,0,0
17252,27019001,A027019001,32020,020 Carn,Cavan,Border,BMW,North and West,0,0
17198,27020001,A027020001,32003,003 Carnagarve,Cavan,Border,BMW,North and West,0,0
17199,27020002,A027020002,32003,003 Carnagarve,Cavan,Border,BMW,North and West,0,0
17350,27021001,A027021001,32046,046 Carrafin,Cavan,Border,BMW,North and West,0,0
17351,27021002,A027021002,32046,046 Carrafin,Cavan,Border,BMW,North and West,0,0
17276,27022001,A027022001,32030,030 Castlerahan,Cavan,Border,BMW,North and West,0,0
17277,27022002,A027022002,32030,030 Castlerahan,Cavan,Border,BMW,North and West,0,0
17278,27022003,A027022003,32030,030 Castlerahan,Cavan,Border,BMW,North and West,0,0
17279,27022004,A027022004,32030,030 Castlerahan,Cavan,Border,BMW,North and West,0,0
